Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"BIOINFORMATICS","BIOINFORMATICS","OXFORD UNIV PRESS","1367-4803","1367-4811","BIOCHEMICAL RESEARCH METHODS","SCIE","179,068","5.4","1.44","7.1","79.51"%,"99.59"%,"736",
"BIOINFORMATICS","BIOINFORMATICS","OXFORD UNIV PRESS","1367-4803","1367-4811","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","179,068","5.4","1.44","7.1","79.51"%,"99.59"%,"736",
"BIOINFORMATICS","BIOINFORMATICS","OXFORD UNIV PRESS","1367-4803","1367-4811","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","179,068","5.4","1.44","7.1","79.51"%,"99.59"%,"736",
"APPLIED ENERGY","APPL ENERG","ELSEVIER SCI LTD","0306-2619","1872-9118","ENERGY & FUELS","SCIE","177,812","11","1.63","11.2","20.47"%,"99.2"%,"2,365",
"APPLIED ENERGY","APPL ENERG","ELSEVIER SCI LTD","0306-2619","1872-9118","ENGINEERING, CHEMICAL","SCIE","177,812","11","1.63","11.2","20.47"%,"99.2"%,"2,365",
"ECOLOGY","ECOLOGY","WILEY","0012-9658","1939-9170","ECOLOGY","SCIE","58,795","4.3","1.2","5.2","45.21"%,"98.7"%,"230",
"COMPUTERS IN HUMAN BEHAVIOR","COMPUT HUM BEHAV","PERGAMON-ELSEVIER SCIENCE LTD","0747-5632","1873-7692","PSYCHOLOGY, EXPERIMENTAL","SSCI","58,245","8.9","3.07","10.6","30.31"%,"96.37"%,"331",
"COMPUTERS IN HUMAN BEHAVIOR","COMPUT HUM BEHAV","PERGAMON-ELSEVIER SCIENCE LTD","0747-5632","1873-7692","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","58,245","8.9","3.07","10.6","30.31"%,"96.37"%,"331",
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","ELSEVIER","1568-4946","1872-9681","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","48,350","6.6","1.34","6.9","6.9"%,"99.37"%,"1,269",
"APPLIED SOFT COMPUTING","APPL SOFT COMPUT","ELSEVIER","1568-4946","1872-9681","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","48,350","6.6","1.34","6.9","6.9"%,"99.37"%,"1,269",
