"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"EXPERT SYSTEMS WITH APPLICATIONS","EXPERT SYST APPL","PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","102,444","7.5","1.5","7.8","10.99"%,"96.96"%,"2,925",
"EXPERT SYSTEMS WITH APPLICATIONS","EXPERT SYST APPL","PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","102,444","7.5","1.5","7.8","10.99"%,"96.96"%,"2,925",
"EXPERT SYSTEMS WITH APPLICATIONS","EXPERT SYST APPL","PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","102,444","7.5","1.5","7.8","10.99"%,"96.96"%,"2,925",
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ECONOMICS","SSCI","68,208","9.2","2.09","8.8","34.76"%,"99.51"%,"406",
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ENERGY & FUELS","SCIE","68,208","9.2","2.09","8.8","34.76"%,"99.51"%,"406",
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ENVIRONMENTAL SCIENCES","SCIE","68,208","9.2","2.09","8.8","34.76"%,"99.51"%,"406",
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ENVIRONMENTAL STUDIES","SSCI","68,208","9.2","2.09","8.8","34.76"%,"99.51"%,"406",
"IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY","IEEE T VEH TECHNOL","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9545","1939-9359","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","65,497","7.1","1.5","7.4","3.18"%,"100"%,"1,665",
"IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY","IEEE T VEH TECHNOL","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9545","1939-9359","TELECOMMUNICATIONS","SCIE","65,497","7.1","1.5","7.4","3.18"%,"100"%,"1,665",
"IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY","IEEE T VEH TECHNOL","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9545","1939-9359","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","65,497","7.1","1.5","7.4","3.18"%,"100"%,"1,665",
"EUROPEAN JOURNAL OF OPERATIONAL RESEARCH","EUR J OPER RES","ELSEVIER","0377-2217","1872-6860","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","64,164","6","1.35","6.2","30.77"%,"96.09"%,"511",
"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","IEEE T INTELL TRANSP","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1524-9050","1558-0016","ENGINEERING, CIVIL","SCIE","62,678","8.4","1.86","9.5","4.16"%,"99.43"%,"1,400",
"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","IEEE T INTELL TRANSP","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1524-9050","1558-0016","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","62,678","8.4","1.86","9.5","4.16"%,"99.43"%,"1,400",
