"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE","TECHNOL FORECAST SOC","ELSEVIER SCIENCE INC","0040-1625","1873-5509","BUSINESS","SSCI","61,913","13.3","2.53","13.9","28.93"%,"97.81"%,"686",
"TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE","TECHNOL FORECAST SOC","ELSEVIER SCIENCE INC","0040-1625","1873-5509","REGIONAL & URBAN PLANNING","SSCI","61,913","13.3","2.53","13.9","28.93"%,"97.81"%,"686",
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455","PSYCHOLOGY","SCIE","59,903","19.8","4.12","28.5","28.13"%,"67.44"%,"43",
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","59,903","19.8","4.12","28.5","28.13"%,"67.44"%,"43",
"MANAGEMENT SCIENCE","MANAGE SCI","INFORMS","0025-1909","1526-5501","MANAGEMENT","SSCI","50,198","4.9","1.08","6.6","0"%,"100"%,"260",
"MANAGEMENT SCIENCE","MANAGE SCI","INFORMS","0025-1909","1526-5501","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","50,198","4.9","1.08","6.6","0"%,"100"%,"260",
"STRATEGIC MANAGEMENT JOURNAL","STRATEGIC MANAGE J","WILEY","0143-2095","1097-0266","BUSINESS","SSCI","46,042","7.2","1.5","11.5","55.07"%,"100"%,"96",
"STRATEGIC MANAGEMENT JOURNAL","STRATEGIC MANAGE J","WILEY","0143-2095","1097-0266","MANAGEMENT","SSCI","46,042","7.2","1.5","11.5","55.07"%,"100"%,"96",
"KNOWLEDGE-BASED SYSTEMS","KNOWL-BASED SYST","ELSEVIER","0950-7051","1872-7409","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","44,949","7.6","1.32","7.6","9.23"%,"99.7"%,"1,354",
"RELIABILITY ENGINEERING & SYSTEM SAFETY","RELIAB ENG SYST SAFE","ELSEVIER SCI LTD","0951-8320","1879-0836","ENGINEERING, INDUSTRIAL","SCIE","41,827","11","1.89","9.2","11.18"%,"98.23"%,"736",
"RELIABILITY ENGINEERING & SYSTEM SAFETY","RELIAB ENG SYST SAFE","ELSEVIER SCI LTD","0951-8320","1879-0836","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","41,827","11","1.89","9.2","11.18"%,"98.23"%,"736",
"PERSONALITY AND INDIVIDUAL DIFFERENCES","PERS INDIV DIFFER","PERGAMON-ELSEVIER SCIENCE LTD","0191-8869","1873-3549","PSYCHOLOGY, SOCIAL","SSCI","36,014","2.6","1.12","3.5","27.56"%,"95.44"%,"373",
"LAND USE POLICY","LAND USE POLICY","ELSEVIER SCI LTD","0264-8377","1873-5754","ENVIRONMENTAL STUDIES","SSCI","35,259","5.9","1.41","6.9","30.56"%,"98.15"%,"324",
"RESEARCH POLICY","RES POLICY","ELSEVIER","0048-7333","1873-7625","MANAGEMENT","SSCI","34,282","8","1.83","10.5","51.99"%,"100"%,"145",
"PSYCHOLOGICAL SCIENCE","PSYCHOL SCI","SAGE PUBLICATIONS INC","0956-7976","1467-9280","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","34,101","5.1","1.81","7","32.42"%,"100"%,"90",
"STATISTICS IN MEDICINE","STAT MED","WILEY","0277-6715","1097-0258","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","33,763","1.8","0.61","2.6","35.83"%,"99.66"%,"291",
"STATISTICS IN MEDICINE","STAT MED","WILEY","0277-6715","1097-0258","MEDICAL INFORMATICS","SCIE","33,763","1.8","0.61","2.6","35.83"%,"99.66"%,"291",
