Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL
The Value of Interactivity: Connections within a Community. In G. Fosbraey (Eds.),2024,Book Chapters,,http://dx.doi.org/10.5040/9781350331525.ch-4,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Using social connection to drive engagement in emergency remote teaching and learning,2023,Journals,Higher Education Research and Development,http://dx.doi.org/10.1080/07294360.2023.2203471,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
From frustration to fulfilment: Meeting early challenges analysing business transactions,2024,Conferences,,http://dx.doi.org/10.14742/apubs.2024.1045,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Mastering Business Transaction Analysis: Utilizing an Excel Learning Aid to Reduce Cognitive Load Through Scaffolded Support and Immediate Feedback,2024,Conferences,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Accounting Education for Gen-Z: Lessons from a student co-creation perspective,2023,Conferences,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Excel - a new way to join the dots,2023,Conferences,,http://dx.doi.org/10.14742/apubs.2023.611,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
The Practical Connection,2022,Conferences,,http://dx.doi.org/10.14742/apubs.2022.89,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Unpacking Emergency Remote Teaching and Learning Experiences,2021,Conferences,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Collaboration and co-creation: Lessons from working in a multi-disciplinary team on the Industry Placement Program,2018,Conferences,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Excel - a new way to join the dots,2024,Report,,https://diberg.blog/2024/03/11/excel-a-new-way-to-join-the-dots/,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Reimagining First Year Accounting with a Practical Connection,2023,Report,,https://cdrg.blog/2023/01/30/reimagining-first-year-accounting/,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Connecting with students through humour,2022,Report,,https://cdrg.blog/2022/10/28/connecting-with-students-through-humour/,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Re-energised Teaching,2021,Report,,https://cdrg.blog/2021/07/26/re-energised-teaching/,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
Everyday innovation with tech tools,2024,Other,,,Janine Coupe,https://sydney.edu.au/business/about/our-people/academic-staff/janine.coupe.html
In Government We Trust: Market Failure and the Delusions of Privatisation,2009,Books,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Privatising Corrections: Rethinking the issue. In P. Birch, L. Sicard (Eds.)",2021,Book Chapters,Prisons and Community Corrections: Critical Issues and Emerging Controversies,http://dx.doi.org/10.4324/9781003010562-6,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The Real Cost of Prison Reform: The Case of Privatisation in Victoria. In D. Cahill, P. Toner (Eds.)",2018,Book Chapters,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Incorporating Human Rights into the Sustainability Agenda. In Maria Cadiz Dyball, Ian Thomson, Richard M.S. Wilson (Eds.)",2014,Book Chapters,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The Shifting Meaning of Sustainability. In Guler Aras & David Crowther (Eds.),2010,Book Chapters,,http://dx.doi.org/10.4324/9781315564791,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The Convergence of International Financial Reporting Standards in China: A View on the Influence of Political Ideology on Chinese Accounting Profession. In Parikshit K Basu, Yapa M W Y Bandara (Eds.)",2009,Book Chapters,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The Ideal Accounting Report: A PhD or a McJob. In S. Evans, L. Parker (Eds.)",2007,Book Chapters,"Balancing Act: the Creative Writing Pathway to Understanding Accounting. Special Issue of the Accounting, Auditing & Accountability Journal",,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The accounting craft and the environmental crisis: reconsidering environmental ethics. In Warwick Funnell and Robert Williams (Eds.),2005,Book Chapters,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Financial gaslighting: The financialisation of care in later life,2025,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2025.102788,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Hegemony, global capitalism and the role of diplomacy in extractive industries",2025,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/aaaj-03-2023-6353,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Artificial intelligence and qualitative research: The promise and perils of large language model (LLM) 'assistance',2024,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2024.102722,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Knowledge equity as social justice in academic publishing and why it matters for accounting research,2024,Journals,Meditari Accountancy Research,http://dx.doi.org/10.1108/MEDAR-06-2024-2522,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Wealth taxes and the post-COVID future of the state,2024,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2022.102431,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Algorithmic accountability: robodebt and the making of welfare cheats,2023,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-02-2022-5666,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Data breaches in the age of surveillance capitalism: Do disclosures have a new role to play?,2023,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102396,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The new ""corporate state"": The meshing of corporate and political power and the erosion of democratic accountability in the UK",2023,Journals,Financial Accountability and Management,http://dx.doi.org/10.1111/faam.12356,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
A Tribute to the Life and Scholarship of Conny Beck,2022,Journals,Social and Environmental Accountability Journal,http://dx.doi.org/10.1080/0969160X.2022.2085130,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Big data and accounting,2022,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2022.102478,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Financialisation and the Conceptual Framework: An Update,2022,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102322,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"From ""business-like"" to businesses: Agencification, corporatization, and civil service reform under the Thatcher administration",2022,Journals,Public Administration,http://dx.doi.org/10.1111/padm.12732,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Methodological Insights Accounting talk: developing conversation analysis in accounting research,2022,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-09-2020-4943,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Special Issue Editorial: Covid and the environment in crisis,2022,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102413,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The perils of artificial intelligence in academic publishing,2022,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102411,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Accounting, inequality and COVID-19 in Australia",2021,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-07-2020-4688,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Editorial for special issue on boundaries,2021,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2021.102295,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The General Data Protection Regulation in the Age of Surveillance Capitalism,2021,Journals,Journal of Business Ethics,http://dx.doi.org/10.1007/s10551-019-04239-z,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Addressing the English language hegemony problem in academia: An ongoing experiment and preliminary policy,2020,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2019.102127,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Aproximaciones contextuales sobre el devenir de las revistas contables colombianas. Perspectivas plurales de los editores,2020,Journals,Contaduria Universidad de Antioquia,http://dx.doi.org/10.17533/udea.rc.n77a05,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Australia's COVID-19 Public Budgeting Response: The Straitjacket of Neoliberalism,2020,Journals,"Journal of Public Budgeting, Accounting & Financial Management",http://dx.doi.org/10.1108/JPBAFM-07-2020-0096,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Corporate Social Responsibility Reporting: The Last 40 Years and a Path to Sharing Future Insights,2020,Journals,Abacus,http://dx.doi.org/10.1111/abac.12181,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Critical perspectives on accounting and journal rankings: Engaging in counter discourses and practices,2020,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2020.102169,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Extracting transparency: the process of regulating disclosures for the resources industry,2020,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-11-2017-3226,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
For Emancipation: A Marxist Critique of Structure within Critical Realism,2020,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-11-2019-4251,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The radical potential of leaks in the shadow accounting project: The case of US oil interests in Nigeria,2020,Journals,"Accounting, Organizations and Society",http://dx.doi.org/10.1016/j.aos.2019.101101,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Accountability Practices in Microfinance: Cultural Translation and the Role of Intermediaries,2018,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-07-2017-3028,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Rationalising and resisting neoliberalism: The uneven geography of costs,2017,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2016.09.001,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Tools of Accountability: Protecting Microfinance Clients in South Africa?,2017,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-04-2016-2548,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Rethinking China: Discourse, Convergence and Fair Value Accounting",2016,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2015.09.002,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
How do we break down a $3.4b prisons bill? What can it tell us?,2015,Journals,The Conversation,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Financialisation and the Conceptual Framework,2014,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2012.11.012,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Obama's concession on spying makes implicit case for leaks,2014,Journals,The Conversation,http://theconversation.com/obamas-concession-on-spying-makes-implicit-case-for-leaks-21918,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Weaving a web of control: ""The Promise of Opportunity"" and work-life balance in multinational accounting firms",2014,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/AAAJ-02-2012-00955,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Free market environmentalism and the neoliberal project: The case of the Climate Disclosure Standards Board,2013,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2013.05.010,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Incorporating Human Rights into the Sustainability Agenda: A Commentary on 'Corporate Responsibility to Respect Human Rights and Business Schools Responsibility to Teach It',2013,Journals,Accounting Education,http://dx.doi.org/10.1080/09639284.2013.817793,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Review: Uncertainty Markets and Carbon Markets: Variations on Polanyian Themes,2013,Journals,Social and Environmental Accountability Journal,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Senate run must be more than a get-out-of-jail card for Assange,2013,Journals,The Conversation,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Accounting and the construction of the 'cost effective' prison,2012,Journals,Journal of Australian Political Economy,http://dx.doi.org/10.3316/ielapa.991623392348371,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Accounting as an Instrument of Neoliberalisation? Exploring the Adoption of Fair Value Accounting in China,2012,Journals,"Accounting, Auditing and Accountability Journal",http://dx.doi.org/10.1108/09513571211275470,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The private world of carbon reporting,2012,Journals,The Conversation,http://theconversation.com/the-private-world-of-carbon-reporting-10103,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Accounting for climate change and the self-regulation of carbon disclosures,2011,Journals,Accounting Forum,http://dx.doi.org/10.1016/j.accfor.2011.06.006,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Carbon Disclosures: Comparability, the Carbon Disclosure Project and the Greenhouse Gas Protocol",2011,Journals,Australasian Accounting Business and Finance Journal,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Offshoring and outsourcing the 'unauthorised': The annual reports of an anxious state,2011,Journals,Policy and Society,http://dx.doi.org/10.1016/j.polsoc.2011.07.006,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Carbon Tax: Challenging neoliberal solutions to climate change,2010,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2010.03.009,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Land in China: Re-considering comparability in financial reporting,2010,Journals,Australasian Accounting Business and Finance Journal,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Prison Privatization: The (Ir)Relevance of Accounting,2010,Journals,Accounting and the Public Interest,http://dx.doi.org/10.2308/api.2010.10.1.122,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Value for Money? Neo-Liberalism in New South Wales Prisons,2009,Journals,Australian Accounting Review,http://dx.doi.org/10.1111/j.1835-2561.2009.00052.x,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Pollution Taxes to Protect the Environment,2008,Journals,Asia-Pacific Journal of Taxation,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Prisons, the profit motive and other challenges to accountability",2007,Journals,Critical Perspectives on Accounting,http://dx.doi.org/10.1016/j.cpa.2006.08.003,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The carbon disclosures project: accounting information beyond 2007,2007,Journals,Journal of the Asia Pacific Centre for Environmental Accountability,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"The Equator Principles, Project Finance and the Challenge of Social and Environmental Responsibility",2007,Journals,Issues in Social and Environmental Accounting,https://iiste.org/Journals/index.php/ISEA/article/view/892,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"AUSFTA: Linking War, Free Trade and the Environment",2003,Journals,Journal of the Asia Pacific Centre for Environmental Accountability,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Corporate Governance, the Environment and the Internet",2003,Journals,Electronic Green Journal: professional journal on international environmental information,https://escholarship.org/uc/item/5ft9g7h2,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Environmental Accounting and Accountability: Can the Opaque be Transparent?,2001,Journals,Interdisciplinary Environmental Review,http://dx.doi.org/10.1504/IER.2000.054001,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The Kyoto Protocol: Will Cheaters Prosper?,2001,Journals,Journal of the Asia Pacific Centre for Environmental Accountability,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Accountability, Democracy and the World Economic Forum",2000,Journals,Asia Pacific Journal of Centre for Environmental Accountability,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Denying Accountability? Australia's International Mining Shame,2000,Journals,Asia Pacific Journal of Centre for Environmental Accountability,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Literature and insights: a PhD or a McJob?,2000,Journals,"Accounting, Auditing and Accountability Journal",,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The accounting craft and the environmental crisis: reconsidering environmental ethics,2000,Journals,Accounting Forum,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Measurement and Imperialism in the 'New Millennium',1999,Journals,Pacific Accounting Review,http://dx.doi.org/10.1108/eb037922,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Updating Netnography in the Age of Surveillance Capitalism: A Response to Ethical Shortcomings in Facebook's Data Practices,2023,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Privatisation, in who's interest? (Keynote Address)",2019,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The politics of costs: Why accounting matters in debates about privatisation (Keynote Address),2019,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"""Evidence of the truth"": Accountability Lessons From Wikileaks",2016,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Enacting Controls for Managing Knowledge - A Study of Management Controls and Project Workers,2016,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Enacting Controls for Managing Knowledge - A Study of Management Controls and Project Workers,2016,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Greenhouse and energy auditing - more technical or financial? - An exploration of its translation from the lobbying processes and after,2016,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Where's the Evidence? Accounting and Public Policy (Keynote Address),2016,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Accountability as Ideology: Exploring the Lessons of Wikileaks,2015,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Can Wikileaks be used to improve corporate accountability?,2015,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Exploring corporate accountability with the use of Wikileaks,2015,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Wikileaks and Corporate Accountability in Nigeria,2015,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Accounting, Public Policy and the Hegemony of 'Cost: The Framing of Prison Privatisation in NSW",2012,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Accounting, public policy and the hegemony of cost: The framing of prison privatisation in NSW",2012,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Accounting Information and the Privatisation of Prisons,2010,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Fair Value Accounting in China: Neoliberalisation and Accounting Change,2010,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Greenhouse gas reporting and the Carbon Disclosure Project,2010,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Accountability and the Privatisation of NSW Prisons,2009,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Carbon Reporting and the Greenhouse Gas Protocol,2009,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Carbon Taxation: The Alternative to a Market-Based Approach to the Climate Change Problem,2009,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Fair Value Accounting and Chinese Capital Markets,2009,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Privatisation and the future for Better Services in NSW,2009,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Strategic Discourse and Australia's Carbon Pollution Reduction Scheme,2009,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
A View of the Process of Accounting Standard Setting in the People's Republic of China,2008,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Corporate Strategy and the Climate Disclosures Standards Board,2008,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Discourse and Institutions of Sustainability and The Role of Accounting,2008,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Neoliberalism and New South Wales Prisons: Re-regulation through Value for Money Reporting,2008,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Privatisation and New South Wales Prisons: Value for Money and Neo-liberal Regulation,2008,Conferences,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Will Rudd Rein in Profits,2009,Magazine / Newspaper Articles,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
"Accountability, Costs and Performance of Private Prisons in NSW: Submission to the NSW Parliamentary Inquiry into Parklea Correctional Centre and Other Operational Issues",2018,Report,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Submission to the Inquiry into the Efficiency and Performance of Western Australian Prisons,2015,Report,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
The Cost of Commissioning: Research Report on the Proposed Reforms to Western Australian Prisons Sector,2015,Report,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Accounting for Climate Change: An examination of carbon disclosure regimes,2012,Report,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Breaching Boundaries: Improving Data Breach Notifications in Australia,2024,Research Reports,,https://doi.org/10.25910/psq3-q365,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Prison Privatisation in Australia: The State of the Nation,2016,Research Reports,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Inquiry into the privatisation of prisons and prison-related services,2009,Research Reports,,,Jane Andrew,https://sydney.edu.au/business/about/our-people/academic-staff/jane.andrew.html
Understanding climate risk externalities through the global supply chains: a framework and review of the literature on existing approaches,2024,Journals,Journal of Accounting Literature,http://dx.doi.org/10.1108/JAL-06-2023-0105,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
The response of Australian firms to AASB 138 disallowing the recognition of internally generated identifiable intangibles,2023,Journals,Accounting and Finance,http://dx.doi.org/10.1111/acfi.13052,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Direct Method Operating Cash Flow Disclosures: Determinants and Incremental Usefulness,2021,Journals,Abacus,http://dx.doi.org/10.1111/abac.12238,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Liquidity and information asymmetry around unscheduled mining announcements,2021,Journals,Accounting and Finance,http://dx.doi.org/10.1111/acfi.12694,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Accounting for financial instruments with characteristics of debt and equity: Finding a way forward,2019,Journals,Accounting and Finance,http://dx.doi.org/10.1111/acfi.12280,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Accounting for Intangibles: Can Capitalization of R&D Improve Investment Efficiency?,2019,Journals,Abacus,http://dx.doi.org/10.1111/abac.12149,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Audit quality and properties of analysts' information environment,2019,Journals,Journal of Business Finance and Accounting,http://dx.doi.org/10.1111/jbfa.12358,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Independently Certified Industry-specific Disclosures to the Capital Market: The JORC Code in the Australian Mining Industry,2019,Journals,Abacus,http://dx.doi.org/10.1111/abac.12153,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Know your industry: the implications of using static GICS classifications in financial research,2019,Journals,Accounting and Finance,http://dx.doi.org/10.1111/acfi.12285,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Convergence of accounting standards and financial reporting externality: evidence from mandatory IFRS adoption,2018,Journals,Accounting and Finance,http://dx.doi.org/10.1111/acfi.12236,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Exchange-Sponsored Analyst Coverage,2018,Journals,Contemporary Accounting Research,http://dx.doi.org/10.1111/1911-3846.12410,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
"The Impact of Mandatory International Financial Reporting Standards Adoption on Investment Efficiency: Standards, Enforcement, and Reporting Incentives",2018,Journals,Abacus,http://dx.doi.org/10.1111/abac.12127,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Merging time-series Australian data across databases: challenges and solutions,2016,Journals,Accounting and Finance,http://dx.doi.org/10.1111/acfi.12123,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Divestment from fossil fuel companies: Confluence between policy and strategic viewpoints,2015,Journals,Australian Journal of Management,http://dx.doi.org/10.1177/0312896215569794,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Planetary boundaries: Implications for asset impairment,2015,Journals,Accounting and Finance,http://dx.doi.org/10.1111/acfi.12173,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
Corporate Disclosures of the Major Sources of Estimation Uncertainties,2012,Journals,Australian Accounting Review,http://dx.doi.org/10.1111/j.1835-2561.2011.00148.x,Baljit Sidhu,https://sydney.edu.au/business/about/our-people/academic-staff/baljit.sidhu.html
